"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"TAMUNI";"ENTREV";"TIPO_TEL";"SEXO";"EDAD";"P0";"P1";"P2";"P3";"ECOPER";"ECOESP";"P6_1";"P6_2";"P6_3";"P6_4";"P6_5";"P6_6";"P6_7";"P6_8";"P6_9";"P6_10";"P6_11";"P6_12";"PESPANNA1";"PESPANNA2";"PESPANNA3";"PPERSONAL1";"PPERSONAL2";"PPERSONAL3";"PREFPTE";"PROBVOTO";"INTENCIONG";"INTENCIONGALTER";"SIMPATIA";"ESCIDEOL";"LIDERESCONOCE_1";"LIDERESCONOCE_2";"LIDERESCONOCE_3";"LIDERESCONOCE_4";"VALORALIDERES_1";"VALORALIDERES_2";"VALORALIDERES_3";"VALORALIDERES_4";"CONOMINIS_1";"CONOMINIS_2";"CONOMINIS_3";"CONOMINIS_4";"CONOMINIS_5";"CONOMINIS_6";"CONOMINIS_7";"CONOMINIS_8";"CONOMINIS_9";"CONOMINIS_10";"CONOMINIS_11";"CONOMINIS_12";"CONOMINIS_13";"CONOMINIS_14";"CONOMINIS_15";"CONOMINIS_16";"CONOMINIS_17";"CONOMINIS_18";"CONOMINIS_19";"CONOMINIS_20";"CONOMINIS_21";"VALMINIS_1";"VALMINIS_2";"VALMINIS_3";"VALMINIS_4";"VALMINIS_5";"VALMINIS_6";"VALMINIS_7";"VALMINIS_8";"VALMINIS_9";"VALMINIS_10";"VALMINIS_11";"VALMINIS_12";"VALMINIS_13";"VALMINIS_14";"VALMINIS_15";"VALMINIS_16";"VALMINIS_17";"VALMINIS_18";"VALMINIS_19";"VALMINIS_20";"VALMINIS_21";"CONOEXMIN";"VALEXMIN";"CONONUMIN";"VALNUMIN";"CONFIANZAPTE";"CONFIANZAOPOSIC";"PARTICIPACIONG";"RECUVOTOG";"CERCANIA";"ESCUELA";"NIVELESTENTREV";"RELIGION";"PRACTICARELIG6";"ECIVIL";"SITLAB";"RELALAB";"CNO11";"INGRESHOG";"CLASESOCIAL";"SINCERIDAD";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_1";"IA_C2B_2";"IA_C2B_3";"IA_C2B_4";"IA_C2B_5";"IA_C2B_6";"IA_C2B_7";"IA_C2B_8";"IA_C2B_9";"IA_C2B_10";"IA_C2B_11";"IA_C2B_12";"IA_C2B_13";"IA_C2B_14";"IA_C2B_15";"IA_C2B_16";"IA_C2B_17";"IA_C2B_18";"IA_C2B_19";"IA_C2B_20";"IA_C2B_21";"IA_C2B_22";"IA_C2B_23";"IA_C2B_24";"IA_C2B_25";"IA_C3";"IA_C4";"INTENCIONGR";"INTENCIONGALTERR";"VOTOSIMG";"RECUVOTOGR";"RECUERDO";"ESTUDIOS";"CNO11R";"CLASESUB";"PESO";"PESOCCAA"
3435;172;1;17;26;89;1;5;0;1;2;45;1;2;2;1;2;3;1;1;2;1;1;1;1;1;1;2;1;2;8;13;1;8;51;16;1;10;1;21;0;3;1;1;1;1;7;2;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;7;7;7;6;8;5;8;7;9;7;6;7;7;6;8;6;6;7;8;7;0;0;0;1;9;1;8;2;3;1;1;1;3;13;2;2;1;1;1;2;3;3;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;7;0;0;0;0;3;0;"";"";2;1;24;2;15;1;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;1;21;1;1;1;6;2;2;0,15955;0,71087
3435;192;2;10;3;14;2;5;0;2;2;62;1;2;2;1;2;2;1;2;2;1;1;1;1;1;1;1;2;1;1;13;9;8;1;9;1;10;1;21;0;1;1;1;1;1;10;1;9;1;7;1;1;7;1;1;7;1;7;1;7;7;7;7;7;1;1;7;7;7;7;0;10;10;0;10;10;0;10;0;10;0;0;0;0;0;10;10;0;0;0;0;1;10;1;10;1;4;1;1;1;3;4;2;1;1;4;0;0;5;3;1;0;0;0;0;0;0;132;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;7;0;0;0;0;4;6;0;375;3;2;1;1;257;3;"";"";2;1;24;2;14;1;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;1;21;1;1;1;3;16;2;2,28945;0,83625
3435;219;3;2;50;0;3;1;0;2;1;53;1;2;2;2;2;2;1;2;2;1;1;1;2;1;1;1;2;2;46;1;75;75;46;998;1;10;1;21;0;4;1;1;1;1;8;2;7;1;1;1;1;7;1;1;1;1;1;1;1;1;1;7;7;1;1;1;7;7;7;5;10;7;0;7;7;6;7;5;7;6;7;7;0;0;8;10;9;0;0;0;1;10;7;0;1;4;1;1;1;3;7;2;3;1;1;1;4;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;5;0;"";"";2;1;24;2;18;3;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;1;21;1;1;1;5;4;2;0,62483;0,92015
3435;227;4;8;24;89;2;5;0;2;1;24;1;2;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;2;20;58;13;20;997;999;97;9;801;9998;0;6;1;1;1;1;4;4;3;2;1;1;1;7;1;1;1;1;7;1;1;1;1;7;1;1;1;1;1;7;1;6;5;3;0;3;4;4;5;0;5;4;5;2;0;4;5;6;4;4;0;3;1;6;1;6;3;3;1;8995;801;3;10;5;0;2;6;0;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;"";"";2;1;24;2;17;1;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;8995;9998;8995;8995;8995;6;13;2;0,65322;0,7303
3435;253;5;2;50;297;1;6;0;1;1;71;1;5;2;2;2;3;1;1;1;1;1;1;1;1;1;1;1;2;51;1;3;51;8;3;2;10;2;3;0;9;1;1;1;1;1;9;1;10;1;1;1;7;1;1;1;1;7;1;7;1;1;7;7;1;1;7;7;7;1;5;2;1;0;1;5;1;1;0;1;0;5;1;0;0;5;5;0;0;0;5;1;2;7;0;4;1;1;3;3;3;8;1;6;3;2;0;0;2;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;"";"";2;1;24;2;25;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2;3;2;3;3;6;12;2;0,32412;0,60704
3435;269;6;1;23;0;3;4;0;2;1;55;1;2;2;2;4;4;2;2;2;1;1;1;2;2;1;2;2;2;8;1;80;8;997;998;97;10;3;9977;0;5;1;1;1;1;1;2;3;3;1;7;1;7;1;7;7;1;7;1;7;7;1;7;7;1;1;1;7;7;7;2;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;3;1;0;0;0;1;1;7;0;4;3;2;0;5;3;11;4;0;5;1;1;4;5;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";3;1;24;3;13;2;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;3;9977;3;0;9997;6;4;3;0,44236;1,02606
3435;296;7;4;7;0;3;3;0;2;2;33;2;4;4;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;996;51;997;65;18;998;1;10;1;2;0;2;1;1;1;1;5;5;5;5;7;7;7;7;1;7;7;7;7;7;7;1;1;7;7;7;1;7;7;7;1;0;0;0;0;5;0;0;0;0;0;0;5;5;0;0;0;5;0;0;0;5;1;6;1;5;3;3;1;1;1;3;5;3;6;1;7;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";2;1;24;2;19;1;1;0;0;1;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;1;1;1;5;14;2;2,3087;0,78662
3435;302;8;13;28;79;1;7;0;2;2;50;1;1;1;1;3;5;1;1;2;1;1;1;1;1;1;2;2;1;24;8;6;51;8;78;8;10;2;3;0;5;1;1;1;1;1;5;2;4;1;7;1;7;1;1;7;1;7;1;7;1;1;7;7;7;1;7;7;7;7;1;0;1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1;7;0;4;3;1;2;9997;3;11;2;1;1;1;1;3;3;11;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;0;0;0;0;9;1;"";"";2;1;24;2;19;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2;3;2;2;2;6;3;6;0,52345;0,85241
3435;303;9;13;28;5;3;5;0;2;1;50;1;1;1;1;2;5;2;2;1;1;1;1;2;2;2;2;1;2;24;65;999;58;8;16;3;10;3;9997;0;10;1;1;1;1;1;4;1;10;1;1;1;7;1;1;1;1;7;1;7;1;1;7;7;1;1;1;7;7;1;1;1;1;0;1;1;1;1;0;1;0;1;1;0;0;1;1;1;0;0;1;1;1;7;0;4;3;1;3;3;3;11;2;2;5;1;1;1;3;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;"";"";2;1;24;2;19;1;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;3;9997;3;3;3;6;1;3;0,52193;1,11225
3435;312;10;13;28;79;1;7;0;1;2;60;1;2;2;2;2;4;1;2;2;1;1;1;2;1;1;2;2;2;8;6;51;8;42;999;97;0;1;2;0;2;1;1;1;1;5;6;4;1;7;7;7;7;1;1;7;7;7;1;7;7;7;7;7;1;1;7;7;7;7;0;0;0;0;5;6;0;0;0;7;0;0;0;0;0;8;9;0;0;0;0;1;10;7;0;3;3;1;1;9997;3;2;1;3;1;7;0;0;6;98;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;3;0;"";"";2;1;24;2;19;1;1;0;0;1;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;2;1;1;1;2;14;8;2,06651;0,92859
